"Timestamp"          , "ComputerName" , "UserName", "DC_Assigned"            , "DC_IP"     , "Ping_ResponseMS", "LDAP_DC_Used"   , "LDAP_ResponseMS", "LDAP_Status", "SecureChannel_Status", "Error_Message"
"2025-11-04 11:10:27", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "158.91"         , "Success"    , "Healthy"             , ""
"2025-11-04 11:10:31", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "0"              , "Success"    , "Healthy"             , ""
"2025-11-04 11:10:40", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "1"              , "\\D11-ADS-PRM01", "0"              , "Success"    , "Healthy"             , ""
"2025-11-04 11:11:21", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "\\D11-ADS-PRM01", "63.23"          , "Success"    , "Healthy"             , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""The server is not operational.  Name: ""gcs.cloud"" "" | Ping Error: No valid IP to ping. |"
"2025-11-04 11:11:35", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "\\D11-ADS-PRM01", "0"              , "Success"    , "Healthy"             , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""The server is not operational.  Name: ""gcs.cloud"" "" | Ping Error: No valid IP to ping. |"
"2025-11-04 11:11:57", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "\\D11-ADS-PRM01", "0"              , "Success"    , "Healthy"             , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""The server is not operational.  Name: ""gcs.cloud"" "" | Ping Error: No valid IP to ping. |"
"2025-11-04 11:17:44", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "Error"          , "N/A"            , "Failed"     , "Broken"              , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""The server is not operational.  Name: ""gcs.cloud"" "" | Ping Error: No valid IP to ping. | LDAP Error: Method invocation failed because [System.Object[]] does not contain a method named 'Trim'. |"
"2025-11-04 11:18:33", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "Error"          , "N/A"            , "Failed"     , "Broken"              , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""Current security context is not associated with an Active Directory domain or forest."" | Ping Error: No valid IP to ping. | LDAP Error: Method invocation failed because [System.Object[]] does not contain a method named 'Trim'. |"
"2025-11-04 11:18:40", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "Error"          , "N/A"            , "Failed"     , "Broken"              , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""Current security context is not associated with an Active Directory domain or forest."" | Ping Error: No valid IP to ping. | LDAP Error: Method invocation failed because [System.Object[]] does not contain a method named 'Trim'. |"
"2025-11-04 11:20:06", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "Error"          , "N/A"            , "Failed"     , "Broken"              , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""Current security context is not associated with an Active Directory domain or forest."" | Ping Error: No valid IP to ping. | LDAP Error: Method invocation failed because [System.Object[]] does not contain a method named 'Trim'. |"
"2025-11-04 11:20:11", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "Error"          , "N/A"            , "Failed"     , "Broken"              , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""Current security context is not associated with an Active Directory domain or forest."" | Ping Error: No valid IP to ping. | LDAP Error: Method invocation failed because [System.Object[]] does not contain a method named 'Trim'. |"
"2025-11-04 11:20:50", "D11-VDI-DW400", "GCS\nob" , "Lookup Failed"          , "Unresolved", "Unreachable"    , "Error"          , "N/A"            , "Failed"     , "Broken"              , "DC Lookup Error: Exception calling ""GetCurrentDomain"" with ""0"" argument(s): ""Current security context is not associated with an Active Directory domain or forest."" | Ping Error: No valid IP to ping. | LDAP Error: Method invocation failed because [System.Object[]] does not contain a method named 'Trim'. |"
"2025-11-04 11:21:03", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "30.97"          , "Success"    , "Broken"              , ""
"2025-11-04 11:21:33", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "14.03"          , "Success"    , "Broken"              , ""
"2025-11-04 11:21:44", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "15.7"           , "Success"    , "Broken"              , ""
"2025-11-04 11:21:58", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "1"              , "\\D11-ADS-PRM01", "0"              , "Success"    , "Broken"              , ""
"2025-11-04 11:22:08", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "1"              , "\\D11-ADS-PRM01", "12.03"          , "Success"    , "Broken"              , ""
"2025-11-04 11:22:39", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "22.29"          , "Success"    , "Broken"              , ""
"2025-11-04 11:23:47", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "9.24"           , "Success"    , "Broken"              , ""
"2025-11-04 11:23:55", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "0"              , "Success"    , "Broken"              , ""
"2025-11-04 11:24:10", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "1"              , "\\D11-ADS-PRM01", "0"              , "Success"    , "Broken"              , ""
"2025-11-04 11:25:06", "D11-VDI-DW400", "GCS\nob" , "d11-ads-prm01.gcs.cloud", "10.10.1.4" , "0"              , "\\D11-ADS-PRM01", "2.68"           , "Success"    , "Broken"              , ""
